28.03	14.16
30.02	15.18
30.02	16.34
30.87	17.33
31.15	18.24
31.71	18.69
31.71	18.69
32	18.55
32.28	18.24
32	17.81
31.71	17.27
30.87	16.65
30.3	15.94
29.17	15.23
28.15	14.41
26.93	13.85
25.85	13.03
24.58	12.35
23.22	11.72
21.86	11.13
20.59	10.53
19.62	10.11
18.75	9.83
17.75	9.40
16.85	8.83
16.14	8.27
15.46	7.79
14.7	7.36
14.02	6.99
13.56	6.80
13.25	6.91
12.88	6.85
12.52	6.74
12.18	6.60
11.89	6.54
11.75	6.46
11.5	6.37
13.31	7.08
15.57	9.20
15.94	10.36
17.53	11.55
20.64	13.68
21.97	14.81
23.13	15.38
24.24	15.69
25.34	15.43
26.39	15.21
28.6	15.97
30.02	17.73
30.58	19.45
31.15	20.61
31.71	21.89
32.85	22.80
35.4	23.76
36.81	24.55
37.94	25.49
38.79	26.11
39.93	26.53
41.34	27.24
42.48	28.26
45.59	29.45
48.7	30.58
48.99	30.87
49.27	30.87
50.4	30.58
54.65	30.87
59.47	32.85
60.03	35.68
59.47	37.38
58.62	38.23
58.33	38.23
58.62	37.66
59.18	37.10
60.03	37.94
67.11	40.49
68.53	43.04
68.24	44.46
67.39	44.74
77.3	48.14
137.05	70.51
182.08	92.03
187.74	108.74
179.81	112.42
174.15	109.30
168.77	104.49
161.97	99.39
153.48	94.01
144.98	87.22
136.49	79.85
128.28	72.49
118.93	65.70
110.44	59.18
102.22	53.24
94.86	47.57
87.78	43.61
81.27	40.21
79.85	38.79
87.78	41.06
103.92	47.86
140.17	71.64
168.2	99.11
176.13	116.67
173.87	121.76
174.43	122.05
175.28	121.76
173.02	121.48
166.79	117.80
158.86	109.87
150.36	99.39
141.87	88.35
133.37	77.30
124.31	68.81
114.4	60.88
104.77	53.52
99.11	47.86
96.56	45.31
90.05	43.61
82.69	42.48
75.89	41.06
69.94	39.36
65.13	36.81
60.88	33.41
57.48	29.45
56.63	26.65
55.22	24.72
50.69	24.24
46.72	24.44
43.04	24.27
40.78	23.84
38.79	23.64
37.1	23.93
35.4	24.49
33.98	24.69
32.56	24.04
32	22.74
31.71	21.04
31.43	19.31
30.87	17.53
30.02	15.86
28.88	14.53
27.41	13.39
25.54	12.09
26.19	12.88
26.87	13.59
26.08	13.17
25.63	12.88
25.68	13.17
