 rainfall runoff and pot evp data
 1983    5   26      .000     5.320     2.065
 1983    5   27      .120     4.779     2.065
 1983    5   28     7.540     4.474     2.065
 1983    5   29      .000     3.807     2.065
 1983    5   30      .000     3.427     2.065
 1983    5   31      .000     3.069     2.065
 1983    6    1      .000     2.807     1.733
 1983    6    2      .000     2.591     1.733
 1983    6    3     8.920     2.918     1.733
 1983    6    4    51.160     9.080     1.733
 1983    6    5    48.370    12.546     1.733
 1983    6    6    13.050    10.784     1.733
 1983    6    7     8.160     9.156     1.733
 1983    6    8      .030     7.401     1.733
 1983    6    9      .000     6.186     1.733
 1983    6   10      .000     5.357     1.733
 1983    6   11      .000     4.646     1.733
 1983    6   12      .000     4.012     1.733
 1983    6   13      .000     3.587     1.733
 1983    6   14      .000     3.263     1.733
 1983    6   15      .000     2.989     1.733
 1983    6   16      .000     2.786     1.733
 1983    6   17      .000     2.773     1.733
 1983    6   18    12.140     3.120     1.733
 1983    6   19    14.600     3.056     1.733
 1983    6   20    17.310     3.034     1.733
 1983    6   21     2.650     2.888     1.733
 1983    6   22    12.650     3.280     1.733
 1983    6   23    10.750     4.315     1.733
 1983    6   24     8.460     3.951     1.733
 1983    6   25      .000     3.231     1.733
 1983    6   26      .000     3.053     1.733
 1983    6   27      .000     2.867     1.733
 1983    6   28      .000     2.721     1.733
 1983    6   29      .000     2.571     1.733
 1983    6   30      .000     2.445     1.733
 1983    7    1      .000     2.292     1.806
 1983    7    2      .000     2.138     1.806
 1983    7    3      .000     2.011     1.806
 1983    7    4     1.060     1.877     1.806
 1983    7    5    10.360     1.771     1.806
 1983    7    6     1.840     2.351     1.806
 1983    7    7      .260     2.132     1.806
 1983    7    8      .000     1.964     1.806
 1983    7    9      .000     1.875     1.806
 1983    7   10      .000     1.836     1.806
 1983    7   11      .000     1.779     1.806
 1983    7   12      .000     1.705     1.806
 1983    7   13     5.610     1.638     1.806
 1983    7   14      .740     1.606     1.806
 1983    7   15     8.300     1.554     1.806
 1983    7   16     1.050     1.540     1.806
 1983    7   17      .000     1.475     1.806
 1983    7   18      .000     1.369     1.806
 1983    7   19     1.420     1.300     1.806
 1983    7   20      .000     1.229     1.806
 1983    7   21     2.690     1.172     1.806
 1983    7   22      .000     1.105     1.806
 1983    7   23      .000     1.074     1.806
 1983    7   24      .000     1.022     1.806
 1983    7   25     3.840      .991     1.806
 1983    7   26     1.820      .964     1.806
 1983    7   27      .000      .939     1.806
 1983    7   28     1.040      .929     1.806
 1983    7   29     1.120      .903     1.806
 1983    7   30      .000      .873     1.806
 1983    7   31      .000      .828     1.806
 1983    8    1      .000      .821     2.290
 1983    8    2      .000      .798     2.290
 1983    8    3      .000      .766     2.290
 1983    8    4      .000      .739     2.290
 1983    8    5      .030      .740     2.290
 1983    8    6      .000      .728     2.290
 1983    8    7      .000      .708     2.290
 1983    8    8      .000      .682     2.290
 1983    8    9      .000      .655     2.290
 1983    8   10      .000      .632     2.290
 1983    8   11      .140      .633     2.290
 1983    8   12     3.310      .852     2.290
 1983    8   13    15.690     1.167     2.290
 1983    8   14     7.270      .837     2.290
 1983    8   15     3.480      .818     2.290
 1983    8   16     2.590      .858     2.290
 1983    8   17     6.300      .819     2.290
 1983    8   18     2.080      .849     2.290
 1983    8   19      .120      .859     2.290
 1983    8   20      .000      .724     2.290
 1983    8   21      .000      .648     2.290
 1983    8   22      .000      .607     2.290
 1983    8   23      .000      .575     2.290
 1983    8   24     3.010      .614     2.290
 1983    8   25     3.140      .619     2.290
 1983    8   26     4.960      .731     2.290
 1983    8   27     9.910     1.117     2.290
 1983    8   28      .000      .703     2.290
 1983    8   29      .000      .611     2.290
 1983    8   30      .000      .565     2.290
 1983    8   31      .000      .509     2.290
 1983    9    1      .000      .471     3.333
 1983    9    2      .000      .441     3.333
 1983    9    3      .000      .408     3.333
 1983    9    4      .080      .391     3.333
 1983    9    5      .120      .375     3.333
 1983    9    6      .030      .361     3.333
 1983    9    7      .250      .347     3.333
 1983    9    8     4.350      .353     3.333
 1983    9    9      .270      .333     3.333
 1983    9   10      .000      .320     3.333
 1983    9   11      .000      .314     3.333
 1983    9   12      .000      .329     3.333
 1983    9   13      .000      .324     3.333
 1983    9   14      .000      .294     3.333
 1983    9   15      .000      .325     3.333
 1983    9   16    18.890     1.334     3.333
 1983    9   17    11.630     1.457     3.333
 1983    9   18    12.130     1.599     3.333
 1983    9   19      .000      .953     3.333
 1983    9   20      .000      .772     3.333
 1983    9   21      .000      .654     3.333
 1983    9   22      .000      .567     3.333
 1983    9   23      .000      .493     3.333
 1983    9   24      .000      .433     3.333
 1983    9   25      .000      .392     3.333
 1983    9   26      .000      .367     3.333
 1983    9   27      .000      .353     3.333
 1983    9   28      .000      .322     3.333
 1983    9   29      .000      .303     3.333
 1983    9   30     1.660      .296     3.333
 1983   10    1      .410      .301     4.355
 1983   10    2      .000      .275     4.355
 1983   10    3     1.780      .270     4.355
 1983   10    4      .120      .238     4.355
 1983   10    5      .190      .256     4.355
 1983   10    6    15.990     1.311     4.355
 1983   10    7    19.200      .896     4.355
 1983   10    8      .000      .511     4.355
 1983   10    9      .910      .415     4.355
 1983   10   10     1.060      .362     4.355
 1983   10   11     1.040      .343     4.355
 1983   10   12     4.820      .460     4.355
